,state,target_variable,num_datapoints,model_embeddings,trial,val_MAE,test_MAE_BG,train_MAE_BG,val_MAE_BG
647,FL,Median Income,14414,LightGCN,7,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
648,FL,Median Income,14414,LightGCN,8,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
649,FL,Median Income,14414,LightGCN,9,0.23276754621228918,0.22261855348411128,0.16673530368686218,0.22506444751811694
650,FL,Median Income,14414,RGNN,0,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
651,FL,Median Income,14414,RGNN,1,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
652,FL,Median Income,14414,RGNN,2,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
653,FL,Median Income,14414,RGNN,3,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
654,FL,Median Income,14414,RGNN,4,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
655,FL,Median Income,14414,RGNN,5,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
656,FL,Median Income,14414,RGNN,6,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
657,FL,Median Income,14414,RGNN,7,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
658,FL,Median Income,14414,RGNN,8,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
659,FL,Median Income,14414,RGNN,9,0.23875880470352312,0.22573661312056037,0.16559520118810706,0.23439961851806243
660,FL,Median Income,14414,Feat-LightGCN,0,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
661,FL,Median Income,14414,Feat-LightGCN,1,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
662,FL,Median Income,14414,Feat-LightGCN,2,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
663,FL,Median Income,14414,Feat-LightGCN,3,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
664,FL,Median Income,14414,Feat-LightGCN,4,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
665,FL,Median Income,14414,Feat-LightGCN,5,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
666,FL,Median Income,14414,Feat-LightGCN,6,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
667,FL,Median Income,14414,Feat-LightGCN,7,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
668,FL,Median Income,14414,Feat-LightGCN,8,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
669,FL,Median Income,14414,Feat-LightGCN,9,0.23042670107631244,0.22329743758627874,0.1670920358247276,0.22531667282243
670,FL,Median Income,14414,Feat-RGNN,0,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
671,FL,Median Income,14414,Feat-RGNN,1,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
672,FL,Median Income,14414,Feat-RGNN,2,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
673,FL,Median Income,14414,Feat-RGNN,3,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
674,FL,Median Income,14414,Feat-RGNN,4,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
675,FL,Median Income,14414,Feat-RGNN,5,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
676,FL,Median Income,14414,Feat-RGNN,6,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
677,FL,Median Income,14414,Feat-RGNN,7,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
678,FL,Median Income,14414,Feat-RGNN,8,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
679,FL,Median Income,14414,Feat-RGNN,9,0.23964430022820687,0.22442995881025574,0.1643200726916184,0.23167092849991539
680,FL,Median Income,14414,Feat\&BG-LightGCN,0,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
681,FL,Median Income,14414,Feat\&BG-LightGCN,1,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
682,FL,Median Income,14414,Feat\&BG-LightGCN,2,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
683,FL,Median Income,14414,Feat\&BG-LightGCN,3,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
684,FL,Median Income,14414,Feat\&BG-LightGCN,4,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
685,FL,Median Income,14414,Feat\&BG-LightGCN,5,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
686,FL,Median Income,14414,Feat\&BG-LightGCN,6,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
687,FL,Median Income,14414,Feat\&BG-LightGCN,7,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
688,FL,Median Income,14414,Feat\&BG-LightGCN,8,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
689,FL,Median Income,14414,Feat\&BG-LightGCN,9,0.2400926686839673,0.23181842375882308,0.1153656390237353,0.225803963857921
690,FL,Median Income,14414,Feat\&BG-RGNN,0,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
691,FL,Median Income,14414,Feat\&BG-RGNN,1,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
692,FL,Median Income,14414,Feat\&BG-RGNN,2,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
693,FL,Median Income,14414,Feat\&BG-RGNN,3,0.24079987372208178,0.2312073995169175,0.16563363323863847,0.24042522156570575
